Description,Assistance_Area,Tags,Resource_Type
"<strong><a href=""http://betterbuildingssolutioncenter.energy.gov/partners/west-palm-beach-fl"">West Palm Beach - Better Buildings Challenge & PACE</a></strong></br>Overview of property assessed clean energy programs in West Palm Beach.</br>CASE STUDIES",Pay for Energy Initiatives,Financing; Financing: Property Assessed Clean Energy,Case Studies
"<strong><a href=""/node/919751"">Boulder Valley School District (Colorado) Power Purchase Agreement Case Study</a></strong></br>Boulder Valley School District completed a power purchase agreement to install 1.4 MW of solar PV that are expected to reduce electricity bills in 14 schools by about 10% over the 20-year life of the agreement. Case study is excerpted from Financing Energy Upgrades for K-12 School Districts: A Guide to Tapping into Funding for Energy Efficiency and Renewable Energy Improvements.</br>CASE STUDIES",Pay for Energy Initiatives,Financing; Renewable Power,Case Studies
"<strong><a href=""/node/919601"">Guidance for Energy Efficiency and Conservation Block Grant Grantees on Financing Programs</a></strong></br>Provides general guidance to the U.S. Department of Energy's Energy Efficiency and Conservation Block Grant Program grantees on financing programs.</br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing,Reports & Guides
"<strong><a href=""/node/911516"">Clean Energy Finance Guide to Residential and Commercial Building Improvements- Primer on Clean Energy Lending: The Major Components and Options</a></strong></br>This chapter introduces the five major components of a clean energy lending product, one by one, and describes each one's major characteristics. It also illustrates the relationship between the components. Among them, the source of capital is particularly important. All other elements of the loan program revolve around the characteristics and needs of the capital source.</br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing,Reports & Guides
"<strong><a href=""/node/915676"">Clean Energy Lending From the Financial Institution Perspective (Chapter 8 of the Clean Energy Finance Guide, 3rd Edition)</a></strong></br>Presents a series of questions that financing institutions of all types will likely ask grantees about new clean energy lending products, a loan loss reserve fund, and other credit enhancements and provides information required by investors in the secondary market and a brief discussion of several challenges facing clean energy lending programs.</br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing,Reports & Guides
"<strong><a href=""/node/915681"">Preliminary/Sample Residential EE Loan Term Sheet and Underwriting Criteria (Appendix A of the Clean Energy Finance Guide, 3rd Edition)</a></strong></br>Provides a sample or preliminary term sheet for single family residential energy efficiency loans.</br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing,Reports & Guides
"<strong><a href=""/node/792266"">Commercial Property Assessed Clean Energy Primer</a></strong></br>An overview of Commercial Property Assessed Clean Energy (PACE) programs, featuring an explanation of the mechanism, advantages and disadvantages of using this sort of program, different financing pathways, properties and measures that are eligible for this sort of financing, existing commercial pilots of PACE programs, using Recovery Act funds to support commercial PACE, and DOE resources about PACE programs.</br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing; Financing: Property Assessed Clean Energy,Reports & Guides
"<strong><a href=""/node/919796"">Guide to Commercial Property Assessed Clean Energy Financing</a></strong></br>Provides a detailed guide to property assessed clean energy (PACE) financing, including the PACE process, regulatory issues, frameworks, and other considerations.</br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing; Financing: Property Assessed Clean Energy,Reports & Guides
"<strong><a href=""Innovative Financing Solutions: Finding Money for Your Energy Efficiency Projects</a></strong></br>Provides an overview of how to find funding for your energy efficiency projects focusing on l-p agreements.</br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing: Energy Savings Performance Contracting; Financing,Reports & Guides
"<strong><a href=""/node/919641"">Clean Energy Finance Guide: Chapter 5 - Basic Concepts for Clean Energy Unsecured Lending and Loan Loss Reserve Funds </a></strong></br>Provides basic concepts for clean energy unsecured lending and loan loss reserve funds.</br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing,Reports & Guides
"<strong><a href=""/node/919956"">Revolving Loan Funds (RLF)</a></strong></br>Provides general information on setting up a revolving loan fund, with focus on doing so with U.S. Department of Energy State Energy Program funds.</br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing; Financing: Revolving Loan Funds,Reports & Guides
"<strong><a href=""/node/911521"">Clean Energy Finance Guide: Partners and Stakeholders - Roles and Potential Impacts</a></strong></br>Chapter 6 from the Clean Energy Finance Guide, Third Edition</br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing; Public-Private Partnerships,Reports & Guides
