Description,Assistance_Area,Tags,Resource_Type
"<strong><a href=""/node/912346"">Designing Effective Incentives to Drive Residential Retrofit Program Participation</a></strong><br>This webinar covered retrofit program incentive contests, decision points to consider when designing an incentive program, and examples of incentive structures.<br>WEBINARS",Design and Implement Energy Programs,Energy Audits/Retrofits,Webinars
"<strong><a href=""/node/912351"">Designing Effective Renewables Programs</a></strong><br>This webinar covers designing effective renewable programs.<br>WEBINARS",Design and Implement Energy Programs,Renewable Power,Webinars
"<strong><a href=""/node/912391"">Driving Demand: Door-to-Door Outreach & Tracking Impacts</a></strong><br>This webinar covered door-to-door outreach and tracking metrics for energy efficiency programs.<br>WEBINARS",Design and Implement Energy Programs,Behavior Modification; Energy Audits/Retrofits,Webinars
"<strong><a href=""/node/912421"">Effective O&M Policy in Public Buildings</a></strong><br>This webinar covered effective operations and maintenance in public buildings.<br>WEBINARS",Design and Implement Energy Programs,Benchmarking; Commissioning/Retro-commissioning; Energy Audits/Retrofits; Energy Management,Webinars
"<strong><a href=""/node/912446"">Energy Code Compliance and Enforcement Best Practices</a></strong><br>This webinar covers how to access current practices, compliance best practices, and enforce best practices with energy code compliances.<br>WEBINARS",Design and Implement Energy Programs,"Energy Management; Evaluation, Measurement, and Verification",Webinars
"<strong><a href=""/node/912456"">Energy Efficiency Rebate Programs 101</a></strong><br>This webinar covers national energy efficiency program funding levels, funding sources, residential program characteristics, and a case study.<br>WEBINARS",Design and Implement Energy Programs,Energy Audits/Retrofits; Financing; Utilities,Webinars
"<strong><a href=""http://www.imt.org/resources/detail/building-energy-transparency-a-framework-for-implementing...energy-rating-d"">Building Energy Transparency Report</a></strong></br>This report discusses that best practices are rapidly emerging and can help policy implementers overcome barriers and effectively implement rating and disclosure policies. It includes policy profiles from several cities and states including California, Washington, New York City, and District of Columbia.</br>REPORTS & GUIDES",Access and Use Energy Data,Benchmarking; Data Access and Management,Reports & Guides
"<strong><a href=""/node/910966"">California Transmittal Letter for Statewide Benchmarking Process Evaluation</a></strong></br>This report by the California Public Utilities Commission examines the value of benchmarking as a tool to encourage energy efficiency, including a discussion of analysis tools.It examines the utility of building benchmarking in promoting energy efficiency, the value of existing and emerging benchmarking tools to California buildings, and other issues. Findings indicate the potential for benchmarking and identify barriers and opportunities that raise questions for California stakeholders on how to best leverage the legislative, ratepayer, market, and other resources at hand going forward.</br>REPORTS &GUIDES",Access and Use Energy Data,Benchmarking; Data Access and Management,Reports & Guides
"<strong><a href=""/node/910811"">CBECS National Median Source Energy Use and Performance Comparisons by Building Type</a></strong></br>This table provides the median energy use intensity for common facility types and can be used to gauge the validity of submitted data.</br>WEBPAGES",Access and Use Energy Data,Benchmarking; Data Access and Management,Webpages
"<strong><a href=""/node/913921"">Designing a Benchmarking Plan</a></strong></br>This document describes how state and local governments, Indian tribes, and overseas U.S. territories can design a plan to benchmark the energy consumption in public buildings.</br>REPORTS & GUIDES",Access and Use Energy Data,Benchmarking; Data Access and Management; Strategic Energy Planning,Reports & Guides
"<strong><a href=""/node/912361"">Developing an Evaluation Measurement and Verification Plan for Your Energy Efficiency Project/Program</a></strong></br>This webinar, held on Feb. 9, 2011, provides information on developing an evaluation, measurment, and verification (EM&V) plan for energy efficiency programs. Discusses EM&V, energy performance management, and reporting with DOE guidance. Case studies for municipal buildings energy efficiency projects included.</br>WEBINARS",Develop an Energy Plan; Access and Use Energy Data,"Data Access and Management; Energy Management; Evaluation, Measurement, and Verification",Webinars
"<strong><a href=""https://www4.eere.energy.gov/seeaction/system/files/documents/commercialbuildings_factsheet_benchmarking_localgovt.pdf"">Energy Benchmarking, Rating, and Disclosure for Local Governments</a></strong></br>This fact sheet provides information on how access to energy use data can help local governments lead by example by benchmarking and disclosing their results, as well as adopting and implementing benchmarking policies for the private sector.</br>RESOURCE SUMMARIES",Access and Use Energy Data,Benchmarking; Data Access and Management,Resource Summaries
"<strong><a href=""https://www4.eere.energy.gov/seeaction/publication/energy-efficiency-program-impact-evaluation-guide"">Energy Efficiency Program Impact Evaluation Guide</a></strong></br>This guide describes the common terminology, structures, and approaches used for determining (evaluating) energy and demand savings as well as avoided emissions and other non-energy benefits resulting from facility (non-transportation) energy efficiency programs that are implemented by local governments, states, utilities, private companies, and nonprofits. It provides context, planning guidance, and discussion of issues that determine the most appropriate evaluation objectives and best practices approaches for different efficiency portfolios.</br>REPORTS & GUIDES",Design and Implement Energy Programs; Access and Use Energy Data,"Benchmarking; Data Access and Management; Energy Management; Evaluation, Measurement, and Verification; Strategic Energy Planning",Reports & Guides
"<strong><a href=""http://www.energystar.gov/ia/business/EPA_BUM_Full.pdf"">ENERGY STAR Building Upgrade Manual</a></strong></br>The ENERGY STAR Building Upgrade Manual is a practical guide for planning and achieving energy improvements in buildings. Topics covered include benchmarking, investment analysis, financing, retro commissioning, lighting, supplemental load reduction, air distribution systems, heating and cooling upgrades, and unique facilities such as K-12 schools and others.</br>REPORTS & GUIDES",Design and Implement Energy Programs; Access and Use Energy Data,Benchmarking; Commissioning/Retro-commissioning; Data Access and Management; Strategic Energy Planning,Reports & Guides
"<strong><a href=""http://www.raponline.org/wp-content/uploads/2016/05/gracefulsystems-morgan-decouplingreport-2012-dec.pdf"">A Decade of Decoupling for U.S. Energy Utilities: Rate Impacts, Designs, and Observations</strong></a><br>This report builds on a 2009 report, which summarized the designs and rate impacts associated with the decoupling mechanisms of 28 local natural gas distribution utilities (LDCs) and 12 electric utilities, across 17 states.<br>REPORTS & GUIDES",Design and Implement Energy Programs,Utilities,Reports & Guides
"<strong><a href=""http://www.nrel.gov/docs/fy12osti/54570.pdf"">A Guide to Community Shared Solar: Utility, Private, and NonProfit Project Development</strong></a><br>This guide is a resource for government officials or utility managers wanting to develop community shared solar projects.<br>REPORTS & GUIDES",Design and Implement Energy Programs,Renewable Power; Utilities,Reports & Guides
"<strong><a href=""http://www.nrel.gov/docs/fy10osti/44849.pdf"">A Policymaker's Guide to Feed-in Tariff Policy Design</strong></a><br>This report provides a detailed analysis of FIT policy design and implementation and identifies a set of best practices that have been effective at quickly stimulating the deployment of large amounts of RE generation.<br>REPORTS & GUIDES",Design and Implement Energy Programs,Renewable Power,Reports & Guides
"<strong><a href=""https://www.opr.ca.gov/docs/California_Solar_Permitting_Guidebook.pdf"">California Solar Permitting Guidebook: Improving Permit Review and Approval for Small Solar Photovoltaic (PV) Systems</strong></a><br>This guidebook is designed to help local governments and their permitting agencies improve permitting of small solar PV systems.<br>REPORTS & GUIDES",Design and Implement Energy Programs,Renewable Power,Reports & Guides
"<strong><a href=""https://www4.eere.energy.gov/seeaction/publication/energy-audits-and-retro-commissioning-state-and-local-policy-design-guide-and-sample"">Energy Audits and Retro-Commissioning: State and Local Policy Design Guide and Sample Policy Language</strong></a><br>The State and Local Energy Efficiency Action Network (SEE Action) released a report that provides guidance and sample policy language to help state and local governments enact and implement policies addressing energy assessments of or improvements to exist commercial buildings.<br>REPORTS & GUIDES",Design and Implement Energy Programs,Commissioning/Retro-commissioning; Energy Audits/Retrofits,Reports & Guides
"<strong><a href=""http://www.cesa.org/assets/2012-Files/RPS/CESA-RPS-evaluation-report-final-5-22-12.pdf"">Evaluating the Benefits and Costs of a Renewable Portfolio Standard</strong></a><br>This report explains issues associated with RPS evaluation and makes suggestions for how states may want to proceed with an evaluation.<br>REPORTS & GUIDES",Design and Implement Energy Programs,Energy Efficiency Resource Standard and Renewable Portfolio Standard,Reports & Guides
"<strong><a href=""http://www.raponline.org/wp-content/uploads/2016/05/rap-sheaffer-interconnectionofdistributedgeneration-2011-09.pdf"">Interconnection of Distributed Generation to Utility Systems: Recommendations for Technical Requirements, Procedures and Agreements, and Emerging Issues</strong></a><br>This paper provides recommendations on technical requirements, procedures, and agreements for U.S. state-jurisdictional interconnections for distributed generation, focusing on systems 10 megawatts (MW) to 20 MW – an area that receives less attention by states than smaller systems.<br>REPORTS & GUIDES",Design and Implement Energy Programs,Renewable Power; Utilities,Reports & Guides
"<strong><a href=""http://ppp.worldbank.org/public-private-partnership/sites/ppp.worldbank.org/files/documents/IRECModelInterconnection%20%281%29.pdf"">Interstate Renewable Energy Council: IREC Model Interconnection Standards and Procedures for Small Generator Facilities</strong></a><br>This model incorporates the best practices of small-generator interconnection standards developed by various state governments, the federal Energy Regulatory Commission (FERC), the National Association of Regulatory Utility Commissioners (NARUC), and the MidAtlantic Distributed Resources Initiative (MADRI).<br>REPORTS & GUIDES",Design and Implement Energy Programs,Renewable Power,Reports & Guides
"<strong><a href=""http://www.nrel.gov/docs/fy10osti/46670.pdf"">Net Metering Policy Development in Minnesota: Overview of Trends in Nationwide Policy Development and Implications of Increasing the Eligible System Size Cap</strong></a><br>This study was conducted to compare Minnesota’s policies to national best practices. It provides an overview of the current Minnesota policy in the context of these best practices and other jurisdictions’ net metering policies, as well as a qualitative assessment of the impacts of raising the system size cap within the policy based on the experiences of other states.<br>REPORTS & GUIDES",Design and Implement Energy Programs,Renewable Power,Reports & Guides
"<strong><a href=""http://www.nrel.gov/docs/fy10osti/46567.pdf"">State Clean Energy Policies Analysis: State Tax Incentives</strong></a><br>The analysis described in this report used case studies of four states to assess the contributions of state tax incentives to the development of renewable energy markets. The report also highlights important policy design considerations for policymakers.<br>REPORTS & GUIDES",Design and Implement Energy Programs,Renewable Power,Reports & Guides
"<strong><a href=""/node/912001"">Collaboration and Consensus Building in States to Support Energy Efficiency as a Resource</strong></a><br>This presentation provides information on collaboration and consensus building in states to support energy efficiency as a resource.<br>WEBINARS",Design and Implement Energy Programs,Strategic Energy Planning,Webinars
"<strong><a href=""/node/913916"">Energy Efficiency In Correctional Facilities & Opportunities for State Energy Office Engagement</strong></a><br>This presentation provides information on energy efficiency in correctional facilities and opportunities for state energy office engagement.<br>WEBINARS",Design and Implement Energy Programs,Benchmarking; Commissioning/Retro-commissioning; Energy Audits/Retrofits; Energy Management; Public-Private Partnerships,Webinars
"<strong><a href=""/node/913031"">Exploring Partnerships to Further Building Code Compliance Enhancement</strong></a><br>This presentation identifies opportunities for municipal and state partnerships to ensure better building code compliance.<br>WEBINARS",Design and Implement Energy Programs,Public-Private Partnerships; Utilities,Webinars
"<strong><a href=""/node/912471"">Energy Efficiency in K-12 Schools and State Applications</strong></a><br>This presentation provides information on energy efficiency in K-12 schools.<br>WEBINARS",Design and Implement Energy Programs,Benchmarking; Commissioning/Retro-commissioning; Energy Audits/Retrofits; Financing,Webinars
"<strong><a href=""/node/912461"">Energy Management Systems: Maximizing Energy Savings</strong></a><br>This webinar covers how to leverage energy management systems for energy savings.<br>WEBINARS",Design and Implement Energy Programs,Data Access and Management; Energy Management,Webinars
"<strong><a href=""/node/914051"">Feed-In Tariff: Best Practices and Application in the U.S.</strong></a><br>This presentation covers renewable energy feed-in tariffs and the lessons learned from the U.S. and abroad.<br>WEBINARS",Design and Implement Energy Programs,Renewable Power; Utilities,Webinars
"<strong><a href=""/node/912781"">Furthering Your Local Governments' Energy Efficiency Goals: Getting Support from Local Leaders</strong></a><br>This webinar includes presentations from state and local energy staff on how to build leadership support for energy efficiency projects.<br>WEBINARS",Design and Implement Energy Programs,Energy Management; Strategic Energy Planning,Webinars
"<strong><a href=""/node/912821"">High Performance Leasing Strategies for State and Local Governments</strong></a><br>This webinar covers strategies for states and local governments to encourage and adopt high performance leasing efforts.<br>WEBINARS",Design and Implement Energy Programs,Benchmarking; Data Access and Management; Energy Management; Public-Private Partnerships,Webinars
"<strong><a href=""/node/912831"">How to Design a Community Energy Alliance</strong></a><br>This webinar covers the how to design and implement the elements of a community energy alliance to enhance local markets for energy efficiency. <br>WEBINARS",Design and Implement Energy Programs,Energy Audits/Retrofits; Energy Management; Financing; Public-Private Partnerships,Webinars
"<strong><a href=""/node/912356"">How to Design and Market Energy Efficiency Programs to Specific Neighborhoods</strong></a><br>This webinar identifies how to design and market energy efficiency programs to specific neighborhoods.<br>WEBINARS",Design and Implement Energy Programs,Behavior Modification; Energy Audits/Retrofits; Public-Private Partnerships,Webinars
"<strong><a href=""/node/912916"">Integrating Experimental Design into Your Program</strong></a><br>This webinar shares strategies and examples on how to integrate experimental design into your program for impact evaluation.<br>WEBINARS",Design and Implement Energy Programs,"Evaluation, Measurement, and Verification",Webinars
"<strong><a href=""/node/912921"">Interior Lighting Efficiency for Municipalities</strong></a><br>This webinar covers a basic understanding of lighting, different types of lamps and luminaries, importance of energy efficiency in lighting, and insights on where to find financial resources.<br>WEBINARS",Design and Implement Energy Programs,Financing; Lighting,Webinars
"<strong><a href=""/node/912936"">Internal Behavior Change Programs and Increasing Energy Efficiency</strong></a><br>This webinar addresses internal behavior change programs to drive energy efficiency with staff and occupants.<br>WEBINARS",Design and Implement Energy Programs,Behavior Modification,Webinars
"<strong><a href=""/node/912961"">Leveraging Partnerships with Faith-Based Organizations</strong></a><br>This webinar explores two case studies involving partnerships with faith-based organizations on energy efficiency programs.<br>WEBINARS",Design and Implement Energy Programs,Energy Audits/Retrofits; Public-Private Partnerships; Renewable Power,Webinars
"<strong><a href=""/node/913076"">Partnering with Utilities and Other Program Administrators to Sustain and Grow Your Energy Efficiency Initiatives</strong></a><br>This webinar explores how to deepen the impact of energy efficiency programs through partnerships with utilties and other program adminstrators.<br>WEBINARS",Design and Implement Energy Programs,Behavior Modification; Public-Private Partnerships; Utilities,Webinars
"<strong><a href=""/node/913091"">Partnering with Utilities Part 1: Successful Partnerships and Lessons from the Field</strong></a><br>This webinar, part one of a two-part series, provides information on how to create successful partnerships with utility companies.<br>WEBINARS",Design and Implement Energy Programs,Public-Private Partnerships; Utilities,Webinars
"<strong><a href=""/node/913096"">Partnering with Utilities Part 2: Advanced Topics for Local Governments in Creating Successful Partnerships with Utilities to Deliver Energy Efficiency Programs</strong></a><br>Part two of a two-part webinar series covers advanced partnership structures for local governments to work with their utilities to deliver energy efficiency programs.<br>WEBINARS",Design and Implement Energy Programs,Public-Private Partnerships; Utilities,Webinars
"<strong><a href=""/node/913106"">Policies and Procedures for Enhancing Code Compliance</strong></a><br>This webinar covers code compliance and how to enhance compliance.<br>WEBINARS",Design and Implement Energy Programs,"Energy Audits/Retrofits; Evaluation, Measurement, and Verification",Webinars
"<strong><a href=""/node/913181"">Quality Assurance for Residential Retrofit Programs</strong></a><br>This webinar covers quality assurance strategies and how to assure that program investments achieve a desired result of saving energy.<br>WEBINARS",Design and Implement Energy Programs,"Evaluation, Measurement, and Verification",Webinars
"<strong><a href=""/node/913001"">Local Strategies for Whole-Building Energy Savings</strong></a><br>This webinar provides an overview of local strategies to improve whole building energy performance including benchmarking, retrocommissioning, high-performance leasing, and others.<br>WEBINARS",Design and Implement Energy Programs,Benchmarking; Commissioning/Retro-commissioning; Data Access and Management; Energy Audits/Retrofits; Energy Management; Public-Private Partnerships,Webinars
"<strong><a href=""/node/911986"">Spurring Local Economic Development with Clean Energy Investments</strong></a><br>This webinar provides information on how to leverage clean energy investments to support local economic development.<br>WEBINARS",Design and Implement Energy Programs,Public-Private Partnerships; Renewable Power; Strategic Energy Planning,Webinars
"<strong><a href=""/node/913646"">States & Energy Efficiency in Higher Education</strong></a><br>This webinar provides information on how states can work together with higher education institutions to drive energy savings, particularly in energy intensive facilities such as labs and data centers.<br>WEBINARS",Design and Implement Energy Programs,Energy Audits/Retrofits; Energy Management; Public-Private Partnerships,Webinars
"<strong><a href=""/node/913146"">Strategic Energy Management</strong></a><br>This webinar covers strategic energy management in the public sector.<br>WEBINARS",Design and Implement Energy Programs,"Energy Management; Energy Savings Performance Contracting; Evaluation, Measurement, and Verification",Webinars
"<strong><a href=""/node/913666"">Stretch/Reach Codes</strong></a><br>This webinar covers stretch codes, particularly those in the form of green codes, and the role of states.<br>WEBINARS",Design and Implement Energy Programs,Commissioning/Retro-commissioning; Energy Audits/Retrofits,Webinars
"<strong><a href=""/node/914001"">Taking It from Brown to Green: Renewable Energy on Contaminated Lands</strong></a><br>This webinar discusses opportunities for renewable energy on contaminated sites.<br>WEBINARS",Design and Implement Energy Programs,Energy Efficiency Resource Standard and Renewable Portfolio Standard; Public-Private Partnerships; Renewable Power,Webinars
"<strong><a href=""/node/914351"">The Role of Public Utility Commissions in Energy Efficiency Program Delivery</strong></a><br>This webinar addresses the role of public utility commissions in energy efficiency program delivery.<br>WEBINARS",Design and Implement Energy Programs,"Evaluation, Measurement, and Verification; Public-Private Partnerships; Strategic Energy Planning; Utilities",Webinars
"<strong><a href=""/node/914926"">Workforce Development and Sales Training for Energy Efficiency Contractors</strong></a><br>This webinar covers expectations for growth and training needs, home performance workforce development, weatherization sales training, and enabling contractors to succeed.<br>WEBINARS",Design and Implement Energy Programs,Public-Private Partnerships,Webinars
"<strong><a href=""http://www.energystar.gov/buildings/tools-and-resources/energy-star-building-upgrade-manual-chapter-5-retrocommissioning"">ENERGY STAR Guide to Retro-Commissioning</a></strong></br>The Building Upgrade Manual is a comprehensive guide to profitable energy efficiency upgrades presented in an easy-to-understand framework designed especially for ENERGY STAR partners. This chapter gives an overview of retro-commissioning and provides detailed project planning, execution and tune-up opportunities.</br>REPORTS & GUIDES",Design and Implement Energy Programs; Access and Use Energy Data,Benchmarking; Commissioning/Retro-commissioning; Data Access and Management,Reports & Guides
"<strong><a href=""http://www.energystar.gov/ia/business/downloads/PM_Data_Collection_Worksheet.doc?0a15-25bc"">ENERGY STAR Portfolio Manager Data Collection Worksheet</a></strong></br>This worksheet can be completed by building owners and managers to collect the data required to benchmark buildings using the U.S. Environmental Protection Agency's ENERGY STAR Portfolio Manager.</br>TOOLS",Access and Use Energy Data,Benchmarking; Data Access and Management,Tools
"<strong><a href=""http://www.energystar.gov/buildings/tools-and-resources/energy-star-building-upgrade-manual-chapter-2-benchmarking"">ENERGY STAR® Building Manual Chapter 2: Benchmarking</a></strong></br>The Building Upgrade Manual is a comprehensive guide to profitable energy efficiency upgrades presented in an easy-to-understand framework designed especially for ENERGY STAR partners. This chapter defines benchmarking, what successful benchmarking looks like, and types of benchmarking. It also addresses how to develop and implement a robust benchmarking plan.</br>REPORTS & GUIDES",Access and Use Energy Data,Benchmarking; Data Access and Management,Reports & Guides
"<strong><a href=""/node/914411"">Evaluation, Measurement, and Verification Overview</a></strong></br>This document provides an overview and definition of the evaluation, measurement, and verification process.</br>RESOURCE SUMMARIES",Access and Use Energy Data,"Evaluation, Measurement, and Verification; Strategic Energy Planning",Resource Summaries
"<strong><a href=""Guide to Choosing the Best Desktop Utility Bill Tracking Software</a></strong></br>This paper will help you to identify what tasks you want to accomplish with your utility bill tracking software. Before reviewing software packages, it is best to understand the needs of your organization and the resources available. Then you can compare each program’s capabilities (such as budgeting and forecasting, temperature correction, rate analysis, report generation, etc.) against your needs.</br>REPORTS & GUIDES",Access and Use Energy Data,Benchmarking; Data Access and Management; Energy Management,Reports & Guides
"<strong><a href=""/node/912926"">Internal Benchmarking Outreach and Data Collection Techniques</a></strong></br>This webinar, held on April 11, 2013, focused on internal benchmarking outreach and data collection techniques. It also features Delaware's experience launching a benchmarking program.</br>WEBINARS",Design and Implement Energy Programs; Access and Use Energy Data,Benchmarking; Data Access and Management,Webinars
"<strong><a href=""/node/912366"">Strategic Energy Management</a></strong></br>A presentation on Strategic Energy Management from a webinar hosted by SEE Action's Existing Commercial Buildings Working Group. Explores examples from Philadelphia, Arlington, VA, and North Carolina as well as DOE and EPA initiatives.</br>PRESENTATIONS",Design and Implement Energy Programs,Energy Management; Strategic Energy Planning,Presentations
"<strong><a href=""/node/913661"">Strategies for Successful Energy Management</a></strong></br>This webinar, held on Dec. 20, 2011, provides information on energy management for the Portfolio Manager initiative.</br>WEBINARS",Design and Implement Energy Programs,Data Access and Management; Energy Management,Webinars
"<strong><a href=""/node/909371"">Benchmarking</a></strong></br>Benchmarking is the practice of comparing the measured performance of a device, process, facility, or organization to itself, its peers, or established norms, with the goal of informing and motivating performance improvement. To assist with the connection between benchmarking and energy management, the following topics reference appropriate portions of energy management resource guides.</br>WEBPAGES",Access and Use Energy Data,Benchmarking,Webpages
"<strong><a href=""/node/909376"">State and Local Energy Benchmarking and Disclosure Policy </a></strong></br>State and local governments are expanding the practice of benchmarking energy use beyond their own facilities to include nongovernment buildings. Benchmarking and disclosure is a market-based policy tool to increase building energy performance awareness among key stakeholders and create demand for energy efficiency improvements. It represents an effort by policymakers to overcome barriers that prevent the commercial real estate marketplace and public sector institutions from identifying and valuing the energy efficiency of existing buildings.</br>WEBPAGES",Access and Use Energy Data,Benchmarking; Data Access and Management,Webpages
"<strong><a href=""/node/909381"">Data Driven Strategic Energy Management</a></strong></br>Strategic energy management is embodied by a set of processes that empower an organization to implement energy management actions and consistently achieve energy performance improvements. Strategic energy management allows for continuous energy performance improvement by providing the processes and systems needed to incorporate energy considerations and energy management into daily operations.</br>WEBPAGES",Access and Use Energy Data,Data Access and Management; Energy Management,Webpages
"<strong><a href=""/node/909386"">Energy Data Access</a></strong></br>Access to energy data presents a significant opportunity for many organizations interested in energy management, benchmarking, disclosure, and energy efficiency services. However, legitimate concerns over privacy and cost create a barrier to benefitting from current energy data sources.</br>WEBPAGES",Access and Use Energy Data,Data Access and Management,Webpages
"<strong><a href=""/node/909391"">Evaluation, Measurement, and Verification</a></strong></br>Evaluation, measurement, and verification is the collection of methods and processes used to assess the performance of energy efficiency activities so planned results can be achieved with greater certainty and future activities can be more effective.</br>WEBPAGES",Access and Use Energy Data,"Evaluation, Measurement, and Verification",Webpages
"<strong><a href=""/node/947561"">Energy Project Development, Finance, and Commissioning Resources</a></strong></br>Effective project development and finance support will help reduce the risks associated with clean energy projects, including effective request for proposals solicitations and successful commissioning efforts.</br>WEBPAGES",Design and Implement Energy Programs,Commissioning/Retro-commissioning; Financing,Webpages
"<strong><a href=""/node/909601"">Energy Technologies Webinars</a></strong></br>Presentations and videos from past webinars sponsored by the U.S. Department of Energy Technical Assistance Program related to energy technologies.</br>WEBINARS",Develop an Energy Plan,Energy Audits/Retrofits; Energy Management; Renewable Power,Webinars
"<strong><a href=""/node/997161"">Best Practices in Energy Data Collection and Tracking in the Public Sector</a></strong></br>This webinar, held on Dec. 18, 2014, covered the U.S. Department of Energy's step-by-step guide for best practices from state and local governments and school districts across the country demonstrating the value of an energy data tracking effort.</br>WEBINARS",Access and Use Energy Data,Benchmarking; Data Access and Management; Energy Management,Webinars
"<strong><a href=""/node/968731"">High Performance Outdoor Lighting Accelerator</a></strong></br>This webinar, held Oct. 2, 2014, covered the High Performance Outdoor Lighting Accelerator, which is designed to accelerate the deployment of high performance street and outdoor lighting across at least 50% of a city’s inventory over the next few years by demonstrating practical and effective best practices and improving system-wide replacement processes at the municipal level.</br>WEBINARS",Design and Implement Energy Programs,Lighting,Webinars
"<strong><a href=""/node/913656"">Stimulating Energy Efficiency in Kentucky: An Implementation Model for States</a></strong></br>This webinar, held April 24, 2014, provides information on the state of Kentucky's implementation model.</br>WEBINARS",Design and Implement Energy Programs,Energy Efficiency Resource Standard and Renewable Portfolio Standard; Strategic Energy Planning; Utilities,Webinars
"<strong><a href=""/node/913686"">Combined Heat and Power: Expanding CHP in Your State</a></strong></br>This webinar, held on Dec. 4, 2013, provides information on combined heat and power opportunities for states.</br>WEBINARS",Design and Implement Energy Programs,Distributed Generation,Webinars
"<strong><a href=""/node/912466"">The Energy-Water Nexus: State and Local Roles in Efficiency & Water and Wastewater Treatment Plants</a></strong></br>This webinar, held Sept. 11, 2013, provides information on the energy-water nexus for state and local water and wastewater treatments plants.</br>WEBINARS",Design and Implement Energy Programs; Pay for Energy Initiatives,Benchmarking; Financing: Energy Savings Performance Contracting; Public-Private Partnerships,Webinars
"<strong><a href=""/node/913636"">States & Emerging Energy Technologies</a></strong></br>This webinar, held on Aug. 15, 2013, provides information on emerging energy technologies for states.</br>WEBINARS",Design and Implement Energy Programs,Energy Management; Lighting,Webinars
"<strong><a href=""/node/913206"">Retrocommissioning and the Public Sector</a></strong></br>This webinar, held on July 18, 2013, provides information on retrocommisioning for the public sector.</br>WEBINARS",Design and Implement Energy Programs,Commissioning/Retro-commissioning; Energy Management,Webinars
"<strong><a href=""/node/912336"">Deep Energy Retrofits & State Applications</a></strong></br>This webinar, held on June 20, 2013, provides information on deep energy retrofits for states.</br>WEBINARS",Design and Implement Energy Programs,Energy Audits/Retrofits,Webinars
"<strong><a href=""/node/914336"">The Energy Audit Process & State Applications</a></strong></br>This webinar, held on May 23, 2013, provides information on the energy audit process for states.</br>WEBINARS",Design and Implement Energy Programs,Energy Audits/Retrofits,Webinars
"<strong><a href=""/node/914391"">Using Cluster Road Mapping to Determine Strategic Clean Energy Direction</a></strong></br>This webinar, held on May 16, 2013, provides information on road mapping strategic clean energy for states.</br>WEBINARS",Develop an Energy Plan,Strategic Energy Planning,Webinars
"<strong><a href=""/node/913601"">Traffic Synchronization and Management for Energy Savings</a></strong></br>This webinar, held on May 18, 2011, provides information on traffic signal synchronization, where it's appropriate to implement traffic signal synchronization, how it's implemented, what benefits can be expected, how much it costs, and how to measure success. Several case studies are also reviewed.</br>WEBINARS",Design and Implement Energy Programs,Energy Management,Webinars
"<strong><a href=""/node/912371"">Exterior Solid-State Lighting Solutions for Municipalities</a></strong></br>This webinar, held on April 19, 2011, provides information on exterior solid-state lighting solutions for municipalities.</br>WEBINARS",Design and Implement Energy Programs,Lighting,Webinars
"<strong><a href=""/node/912996"">Local Power Empowers: CHP and District Energy</a></strong></br>This webinar, held on Nov. 10, 2010, provides information on combined heat and power and district energy.</br>WEBINARS",Design and Implement Energy Programs,Distributed Generation,Webinars
"<strong><a href=""http://www.energystar.gov/index.cfm?c=home_improvement.hm_improvement_audits"">ENERGY STAR Home Energy Audits</a></strong></br>A home energy audit is often the first step in making your home more efficient. An audit can help you assess how much energy your home uses and evaluate what measures you can take to improve efficiency. But remember, audits alone don't save energy. You need to implement the recommended improvements. ENERGY STAR provides extensive information about home improvement projects to enhance energy efficiency, lower utility bills, and increase comfort.</br>WEBPAGES",Design and Implement Energy Programs,Energy Audits/Retrofits,Webpages
"<strong><a href=""/node/793851"">Building Technologies Office: Windows, Skylights, and Doors Research</a></strong></br>Activities in windows and building envelope focus on technologies such as highly insulating materials and systems, and methodologies and analysis tools for measurement and validation of building envelope performance, as well as market-enabling efforts such as the creation of an organization responsible for rating, certifying, and labeling fenestration attachment products to better inform consumers. </br>WEBPAGES",Design and Implement Energy Programs,Renewable Power,Webpages
"<strong><a href=""/node/382927"">U.S. Department of Energy Lighting</a></strong></br>Learn strategies for comparing and buying lighting products and using them efficiently.</br>WEBPAGES",Pay for Energy Initiatives,Lighting,Webpages
"<strong><a href=""/node/899381"">DOE’s Solid State Lighting</a></strong></br>Solid-state lighting (SSL) technology has the potential to reduce U.S. lighting energy usage by nearly one half and contribute significantly to our nation's climate change solutions. The U.S. Department of Energy acts as a catalyst to drive R&D breakthroughs in efficiency and performance, and to equip buyers to successfully apply SSL technology.</br>WEBPAGES",Design and Implement Energy Programs,Lighting,Webpages
"<strong><a href=""http://www.epa.gov/statelocalclimate/local/topics/water.html"">U.S. Environmental Protection Agency Water/Wastewater</a></strong></br>EPA's Sustainable Water Infrastructure program provides materials and funding sources for water utilities to ease budget strains through energy efficiency while contributing to climate change mitigation and local and national energy independence.</br>WEBPAGES",Design and Implement Energy Programs,Renewable Power; Utilities,Webpages
"<strong><a href=""http://www.epa.gov/lmop/"">Environmental Protection Agency Landfill Methane Outreach Program</a></strong></br>The U.S. Environmental Protection Agency’s Landfill Methane Outreach Program is a voluntary assistance program that helps to reduce methane emissions from landfills by encouraging the recovery and beneficial use of landfill gas as a renewable energy resource.</br>WEBPAGES",Design and Implement Energy Programs,Renewable Power,Webpages
